MediaSource,CampaignID,Channel,Country,Wifi,UserID,OSVersion
MediaSource1,19560305480,Search,AR,true,1673554038946-5942926321601974416,8
MediaSource1,19560308588,Network,ZA,true,1673647857853-6408906530696604886,8
MediaSource1,19560305480,Search,HN,false,1673645658337-5378307560700406034,8
MediaSource1,19560308588,Network,FR,true,1673642511260-6240081802543562050,8
MediaSource1,19560308588,Network,ES,true,1673641432689-6862189683515188142,8
MediaSource1,19560305480,Network,TR,true,1673639345515-4558506625521426320,8
MediaSource1,19560308588,Network,MY,true,1673638711830-427741569291453258,8
MediaSource1,19560308588,Network,LT,false,1673636806294-8027669007815081915,8
MediaSource1,19560305480,Network,TR,true,1673636364658-2823949761467381902,8
MediaSource1,19560308588,Network,PL,true,1673635458942-4688522907438609560,8
MediaSource1,19560305480,Network,IT,true,1673631648010-5823383929709700040,8
MediaSource1,19560305480,Network,HU,true,1673625965452-7686972368801460295,8
MediaSource1,19560305480,Network,PL,false,1673623908203-3087205457066250425,8
MediaSource1,19560308588,Network,AR,true,1673612597346-1419995942081726156,8
MediaSource1,19560308588,Network,SE,true,1673612229155-4162415963895341569,8
MediaSource1,19560305480,Network,IT,true,1673606827011-1397464097662407966,8
MediaSource1,19560308588,Network,IL,true,1673601569943-1827937073180666685,8
MediaSource1,19560308588,Network,ES,true,1673571319870-5342380805386813723,8
MediaSource1,19560305480,Network,BR,true,1673737670646-8986756549727431305,8
MediaSource1,19560308588,Network,TR,true,1673733179819-6990479423123967543,8
MediaSource1,19560308588,Network,FR,true,1673725822315-7532399094019018129,8
MediaSource1,19560308588,Network,DE,true,1673722123362-641516594947479338,8
MediaSource1,19560305480,Search,BR,true,1673717333553-4000684152661496272,8
MediaSource1,19560305480,Network,BR,true,1673715804661-1557004681535896674,8
MediaSource1,19560308588,Network,IT,true,1673715438405-785122658707420170,8
MediaSource1,19560305480,Network,ZA,true,1673702357871-6972605067811673935,8
MediaSource1,19560305480,Network,AR,true,1673712781635-8818680793950079313,8
MediaSource1,19560305480,Search,TR,true,1673710502046-9223313515153166981,8
MediaSource1,19560308588,Network,SN,false,1673707940017-6738264009873952139,8
MediaSource1,19560308588,Network,KR,true,1673705112265-5072427861036401976,8
MediaSource1,19560305480,Network,TR,true,1673699764884-153354802423776356,8
MediaSource1,19560305480,Network,HK,true,1673697792148-8678003767993510994,8
MediaSource1,19560305480,Network,GR,true,1673692409996-6569548305911141575,8
MediaSource1,19560305480,Network,VN,false,1673671491853-5449188324001093450,8
MediaSource1,19560308588,Network,BR,true,1673669536340-1377551903170080626,8
MediaSource1,19560305480,Network,BR,true,1673661089784-6729506426890677815,8
MediaSource1,19560305480,Network,AR,true,1673822052316-4363305444958894117,8
MediaSource1,19560305480,Network,PL,true,1673814484875-7994801572230613583,8
MediaSource1,19560308588,Network,PL,true,1673812693539-5361713457967790253,8
MediaSource1,19560305480,Network,IT,true,1673803495027-1394688489930897640,8
MediaSource1,19560305480,Network,TR,true,1673803216574-3172383947371234802,8
MediaSource1,19560305480,Network,BG,true,1673803059240-2990566234549669884,8
MediaSource1,19560305480,Network,DK,true,1673801602660-5549897819317536753,8
MediaSource1,19560305480,Network,ES,true,1673794754517-1797786954487497647,8
MediaSource1,19560305480,Search,TG,true,1673791906272-5039861536367534974,8
MediaSource1,19560308588,Search,BE,true,1673783383155-8597275659640490874,8
MediaSource1,19560308588,Search,KZ,true,1673781687076-678881442881790478,8
MediaSource1,19560308588,Network,LT,true,1673774460618-9118551611755400087,8
MediaSource1,19560305480,Search,AR,true,1673763023654-2346616590048636131,8
MediaSource1,19560308588,Network,MX,true,1673750395475-8911389485708653381,8
MediaSource1,19560305480,Network,MX,true,1673902203629-7713432480219978241,8
MediaSource1,19560305480,Network,CL,true,1673898526384-508105414681913261,8
MediaSource1,19560305480,Search,SA,true,1673898453331-7779202730153681572,8
MediaSource1,19560308588,Search,TR,true,1673897058515-7443742064895447084,8
MediaSource1,19560305480,Network,IT,true,1673895738229-4455899285554961813,8
MediaSource1,19560305480,Network,BR,true,1673894294392-8158323810106270734,8
MediaSource1,19560308588,Network,FR,false,1673882026328-2761976122625114413,8
MediaSource1,19560308588,Network,SE,true,1673878045581-3989917906690438632,8
MediaSource1,19560308588,Search,TR,true,1673869671500-7997539934822870225,8
MediaSource1,19560308588,Search,AR,true,1673842707667-4826148907389193196,8
MediaSource1,19560308588,Network,MX,true,1673840307163-6099292246438020131,8
MediaSource1,19560305480,Network,AR,true,1673880557468-18430254773209866,8
MediaSource1,19560308588,Search,IE,false,1673981094137-6932373714562972184,8
MediaSource1,19560305480,Network,KR,true,1673951577491-6727004261222283521,8
MediaSource1,19560305480,Network,LV,false,1673950539807-8337774598412023477,8
MediaSource1,19560308588,Network,FR,true,1673949761043-7280173058894736801,8
MediaSource1,19560305480,Network,PL,false,1673941358382-2422214722303604323,8
MediaSource1,19560308588,Network,EC,true,1673922598201-8098614545399324883,8
MediaSource1,19560305480,Network,PL,false,1674169666296-2778237935372454970,8
MediaSource1,19560305480,Search,ZA,false,1674158661741-248035048350807755,8
MediaSource1,19560308588,Search,MD,true,1674151011393-8836843865140810943,8
MediaSource1,19560308588,Network,HT,true,1674145697614-642417746760022596,8
MediaSource1,19560308588,Search,MX,true,1674106729106-6245084757311155271,8
MediaSource1,19560305480,Network,MX,true,1674165593547-7667870086467298855,8
MediaSource1,19560305480,Search,AR,true,1674237826424-684542791714214779,8
MediaSource1,19560305480,Network,TG,false,1674050896896-178564914655014863,8
MediaSource1,19560308588,Search,BR,true,1674227683388-7069251430438420071,8
MediaSource1,19560305480,Search,KR,true,1674211308953-2860214353385433712,8
MediaSource1,19560305480,Search,CL,true,1674204983964-6570752994953281004,8
MediaSource1,19560305480,Search,BR,true,1674213962866-6865792486681819658,8
MediaSource1,19560308588,Network,BR,true,1674341631179-5906038448343910912,8
MediaSource1,19560305480,Network,BR,true,1674340043429-317106095272205106,8
MediaSource1,19560305480,Network,ES,true,1674339803957-1948519931492317969,8
MediaSource1,19560305480,Network,MD,true,1674329627053-3150817253389745288,8
MediaSource1,19560305480,Search,HU,true,1674315930063-7646085675021855762,8
MediaSource1,19560305480,Search,ZA,false,1674315034930-7977374947733215547,8
MediaSource1,19560308588,Network,KR,true,1674312309607-2194566440012937724,8
MediaSource1,19560305480,Search,GE,false,1674307019490-1128045520909602398,8
MediaSource1,19560308588,Search,DE,true,1674293832465-3885778846325658250,8
MediaSource1,19560305480,Network,ES,true,1674290745446-7676198680025457350,8
MediaSource1,19560305480,Network,EC,true,1674274835953-5874412278003300093,8
MediaSource1,19560305480,Network,MX,true,1674270758263-1698522978595468054,8
MediaSource1,19560305480,Search,AR,true,1674321848058-7616821995545067878,8
MediaSource1,19560305480,Network,ES,true,1674312447732-8582343708270022237,8
MediaSource1,19560305480,Network,MX,true,1674282358959-7375175545988133067,8
MediaSource1,19560305480,Search,MX,true,1674433152074-375456397754802674,8
MediaSource1,19560305480,Network,ID,true,1674428709475-5537059438977475167,8
MediaSource1,19560305480,Search,AR,true,1674427225731-6817642135361875480,8
MediaSource1,19560305480,Network,MX,true,1674424211204-741509514414224761,8
MediaSource1,19560305480,Search,TR,true,1674419976070-612505782808736901,8
MediaSource1,19560305480,Network,DE,true,1674415940319-3690921095694186526,8
MediaSource1,19560305480,Network,AR,false,1674411758810-1124531373327073967,8
MediaSource1,19560305480,Network,BR,true,1674408528335-4773141973185641080,8
MediaSource1,19560305480,Search,BG,true,1674407722249-5821231883132170663,8
MediaSource1,19560305480,Network,FR,true,1674406327263-2772527052993952460,8
MediaSource1,19560305480,Network,MY,true,1674384939172-5906817514357484163,8
MediaSource1,19560305480,Network,DE,true,1674383547971-1191465792923142405,8
MediaSource1,19560305480,Network,HU,true,1674380580028-808722362710255529,8
MediaSource1,19560305480,Network,CO,true,1674407047942-8872608399789125969,8
MediaSource1,19560308588,Search,MX,true,1674501675512-7422144216255182875,8
MediaSource1,19560305480,Network,MX,true,1674495575693-8054553797047720175,8
MediaSource1,19560305480,Network,BA,true,1674494520012-3769010917214704851,8
MediaSource1,19560305480,Network,DE,true,1674493409103-3511889899214467740,8
MediaSource1,19560305480,Network,PY,false,1674480390908-8542910171296679311,8
MediaSource1,19560305480,Network,GR,true,1674517763407-5254376950403929241,8
MediaSource1,19560305480,Network,BR,true,1674503491999-5104858057197232020,8
MediaSource1,19560305480,Network,CZ,false,1674500836264-445046462728458049,8
MediaSource1,19560305480,Search,BR,true,1674488223801-7858134775598073285,8
MediaSource1,19560305480,Search,DE,true,1674487744512-1866211994349273956,8
MediaSource1,19560305480,Network,CZ,true,1674486780905-7379562003479899272,8
MediaSource1,19560305480,Search,HU,true,1674486614301-4337650157022251156,8
MediaSource1,19560305480,Search,FR,false,1674485457116-4038536162107524206,8
MediaSource1,19560308588,Network,AR,true,1674484509943-5027344587996719522,8
MediaSource1,19560305480,Network,CL,true,1674481069506-7631076622590672737,8
MediaSource1,19560305480,Network,SA,true,1674472505250-451881536559738721,8
MediaSource1,19560305480,Network,LT,true,1674453139522-5111593375978648817,8
MediaSource1,19560305480,Network,MX,true,1674452315953-2711916516125899997,8
MediaSource1,19560308588,Search,BR,true,1674692607235-1479493148803524420,8
MediaSource1,19560305480,Search,EC,true,1674691069987-1946439663899605469,8
MediaSource1,19560305480,Search,CD,false,1674687405256-3426093429910861336,8
MediaSource1,19560308588,Search,AR,true,1674683756235-6062824735856112004,8
MediaSource1,19560305480,Search,BR,true,1674680724846-4073748547285846898,8
MediaSource1,19560305480,Search,US,true,1674680568739-6822284685079598775,8
MediaSource1,19560305480,Network,DK,true,1674673091564-8777287227268102869,8
MediaSource1,19560308588,Network,BR,true,1674670010119-3858720320570686699,8
MediaSource1,19560305480,Network,UY,false,1674665852364-3837282748218575484,8
MediaSource1,19560305480,Network,HU,true,1674665345989-544000037947286434,8
MediaSource1,19560305480,Search,BR,true,1674664404007-2523296491110543181,8
MediaSource1,19560305480,Network,DE,true,1674652322275-2776186511304439368,8
MediaSource1,19560305480,Search,MX,true,1674648637900-7779506865594207925,8
MediaSource1,19560305480,Network,VE,true,1674614599405-7512142479193974113,8
MediaSource1,19560308588,Search,BR,true,1674778346687-6894668857050950459,8
MediaSource1,19560308588,Network,CL,true,1674778070693-7570536937133315249,8
MediaSource1,19560305480,Network,DE,true,1674773076789-410999068082241312,8
MediaSource1,19560305480,Network,IT,false,1674770113295-7899868333647354940,8
MediaSource1,19560305480,Search,TT,false,1674769216730-7597308975807539356,8
MediaSource1,19560305480,Network,BR,true,1674767473748-3629899113298820718,8
MediaSource1,19560308588,Search,BR,true,1674764955002-9208022256026567569,8
MediaSource1,19560305480,Network,ES,true,1674764356005-1520860958464964773,8
MediaSource1,19560305480,Network,BR,true,1674749616359-5559895520146429567,8
MediaSource1,19560305480,Search,ZA,true,1674760168397-2781450654888688090,8
MediaSource1,19560305480,Network,BR,true,1674757532397-843192268460575846,8
MediaSource1,19560305480,Network,MX,true,1674822113303-7898521310927939681,8
MediaSource1,19560305480,Network,ES,true,1674754984424-7903674017873883768,8
MediaSource1,19560305480,Network,HU,false,1674749208848-5372113111598367876,8
MediaSource1,19560305480,Network,PY,true,1674749127922-6290620790776441622,8
MediaSource1,19560305480,Network,BR,true,1674749010772-8788672843973177612,8
MediaSource1,19560305480,Network,KZ,false,1674747318270-2995931901738174905,8
MediaSource1,19560305480,Network,EE,false,1674745392625-4239157762681468705,8
MediaSource1,19560305480,Network,BR,true,1674741892201-5172694658075629225,8
MediaSource1,19560308588,Network,SK,true,1674739360112-1277207188822024457,8
MediaSource1,19560305480,Network,LT,false,1674724463425-2480029098527917113,8
MediaSource1,19560305480,Search,AR,true,1674705144904-2679968807057028510,8
MediaSource1,19560305480,Network,MX,true,1674703051975-8308485614279189072,8
MediaSource1,19560308588,Search,BR,false,1674695944392-3905012819023234774,8
MediaSource1,19560305480,Network,BR,true,1674579290786-2669230844623554306,8
MediaSource1,19560305480,Search,SA,true,1674558277892-2403863575602932028,8
MediaSource1,19560305480,Search,AR,true,1674528731258-5322580168336968327,8
MediaSource1,19560305480,Network,UK,true,1674586332404-6205864171337738192,8
MediaSource1,19560305480,Network,BR,true,1674574110718-7136723245310672257,8
MediaSource1,19560305480,Network,MX,true,1674856636514-2229857637450231904,8
MediaSource1,19560305480,Network,ZA,true,1674856016683-4547386515875491224,8
MediaSource1,19560305480,Network,PE,true,1674853085422-4139822241595371837,8
MediaSource1,19560305480,Network,PH,true,1674850835164-8027382922836398895,8
MediaSource1,19560305480,Network,RO,true,1674849391311-8389252613279452799,8
MediaSource1,19560308588,Network,MA,false,1674844148325-8990900403728599828,8
MediaSource1,19560305480,Network,RS,true,1674843008059-4167881728943532037,8
MediaSource1,19560305480,Network,AM,true,1674841899225-7187853864464209472,8
MediaSource1,19560305480,Network,BR,true,1674836135885-8727137533688067597,8
MediaSource1,19560305480,Network,DK,true,1674835496917-5121350409696951345,8
MediaSource1,19560305480,Search,AR,true,1674834339360-4444247448297622099,8
MediaSource1,19560305480,Network,TR,true,1674833158989-6467401291917807726,8
MediaSource1,19560305480,Network,SA,false,1674826103073-8221184274938729254,8
MediaSource1,19560305480,Network,HR,true,1674823706990-7661152837064707679,8
MediaSource1,19560305480,Network,MY,false,1674818361343-9054416135663278191,8
MediaSource1,19560305480,Network,ES,true,1674811886500-534708041992794946,8
MediaSource1,19560308588,Search,MX,true,1674795250563-1897424427133931410,8
MediaSource1,19560305480,Search,AR,true,1674784511644-1817035455355720926,8
MediaSource1,19560308588,Network,NL,true,1674780253218-2837461457434800337,8
MediaSource1,19560305480,Search,TR,true,1674849244866-1958172782836653489,8
MediaSource1,19560305480,Search,RO,false,1674844424157-8200372386902264210,8
MediaSource1,19560305480,Network,BR,false,1674944949941-7343051978935820433,8
MediaSource1,19560305480,Network,CO,true,1674944448283-8155679721918943584,8
MediaSource1,19560305480,Network,FR,true,1674942684619-8628900004565955051,8
MediaSource1,19560305480,Network,PT,true,1674938218415-5312676193832835078,8
MediaSource1,19560305480,Network,FR,true,1674936369605-5464467100788511455,8
MediaSource1,19560305480,Network,BR,true,1674930427865-8589976665366142210,8
MediaSource1,19560308588,Network,FR,true,1674927790704-2569580559564821364,8
MediaSource1,19560305480,Network,DE,true,1674926181815-7259273920043604765,8
MediaSource1,19560305480,Network,MY,true,1674925800713-8214912908037592774,8
MediaSource1,19560305480,Network,BR,true,1674922241241-4644849062114420608,8
MediaSource1,19560305480,Search,ES,true,1674924918019-4815643021325213530,8
MediaSource1,19560305480,Network,AR,false,1674924136928-8949714358209412234,8
MediaSource1,19560305480,Search,TR,true,1674922976971-2617733115180655796,8
